judul,tanggal,sentimen
Daftar Kekayaan Wakil Menteri BUMN,2024/10/21,netral
3 Raksasa Rokok Global Mau Bayar Ganti Rugi Rp 365 Triliun ke Perokok,2024/10/21,netral
"Usai Dilantik Jadi Wamen BUMN, Dony Oskaria Ungkap Nasib InJourney",2024/10/21,netral
"Laba Kotor WSBP di Kuartal III-2024 Lompat 87,1%, Ini Penopangnya",2024/10/21,positif
"Wamen Tiko Ungkap Tugas di BUMN, Sebut Kimia Farma & Waskita Karya",2024/10/21,netral
"Kisah Sukses Haji Isam, Dulu Ngojek Sekarang Berharta Triliunan",2024/10/21,netral
"Soal Diberhentikan Sementara, Direktur BISI Andy Gumala Buka Suara",2024/10/21,netral
"Usai Dilantik Prabowo, 3 Wamen BUMN Langsung Gaspol Bagi Tugas",2024/10/21,netral
IHSG Semringah Pasca Pelantikan Menteri-Wakil Menteri Prabowo,2024/10/21,positif
"Bisnis Eramet Sempoyongan Gegara Nikel RI, Saham Jeblok 50%",2024/10/21,negatif
"Jadi Menteri Lagi, Erick Mau Pangkas BUMN Jadi 30 dan Fokus di Hal Ini",2024/10/21,netral
"Maybank Minat Caplok PaninBank (PNBN), OJK Angkat Bicara",2024/10/21,netral
"Rupiah Tertekan Usai Prabowo Lantik Menteri, Dolar Naik ke Rp 15.490",2024/10/21,negatif
"Prabowo Resmi Dilantik, Sektor Asuransi Ini Diramal Bakal Ngebut",2024/10/21,netral
Saham Sawit Haji Isam (JARR) Terbang Usai Pelantikan Menteri Prabowo,2024/10/21,positif
"Jadi Menteri Pariwisata, Widiyanti Wardhana Mundur dari Komisaris TLDN",2024/10/21,netral
"Jadi Menteri Pariwisata, Widiyanti Putri Mundur dari Teladan (TLDN)",2024/10/21,netral
"Maybank Kabarnya Mau Akuisisi PNBN Harga 1,7x PBV, Ini kata Bos Panin",2024/10/21,netral
"Wamen BUMN Jadi 3, Ini Penjelasan Erick Thohir",2024/10/21,netral
Budi Arie Ungkap Alasan Kementerian Koperasi Dipisah,2024/10/21,netral
IHSG Bergairah Usai Prabowo Lantik Jajaran Menteri Kabinet Merah Putih,2024/10/21,positif
"Erick Thohir Kembali Jabat Menteri BUMN, Ini Katanya",2024/10/21,netral
Daftar 14 BUMN Sakit Selain PT PANN,2024/10/21,netral
"Diteken Jokowi, BUMN PT PANN Resmi Bubar",2024/10/21,negatif
Profil Istri Bos Tambang yang Diangkat Prabowo Jadi Menteri Pariwisata,2024/10/21,netral
"Resmi Jadi Presiden dan Wapres RI, Segini Harta Prabowo & Gibran",2024/10/21,netral
"Respon Kabinet Menteri Prabowo, IHSG Dibuka Menguat",2024/10/21,positif
Prabowo Effect Bikin Rupiah Perkasa! Dolar AS Kini Rp15.440,2024/10/21,positif
"Trump Makin 'Kuat' Jadi Presiden AS, Harga Bitcoin Tembus Rp 1,06 M",2024/10/21,netral
"Perang Timur Tengah Mereda, Harga Minyak Dunia Anjlok",2024/10/21,negatif
"Gara-Gara China, Bursa Asia Perkasa Pagi Ini",2024/10/21,positif
"Era Pertama Prabowo Dimulai, Rupiah Siap Ngegas!",2024/10/21,positif
"IHSG Balik ke 7.700, Asing Malah Lepas INKP, ADRO, hingga GOTO",2024/10/21,negatif
Program Tiga Juta Rumah Prabowo Bisa Kasih Efek Domino Rp400 Triliun,2024/10/21,positif
"IHSG Full Senyum Sepekan, Asing Terciduk Borong Saham Ini",2024/10/21,positif
Sepupu hingga Mantan Anak Buah Haji Isam Masuk Kabinet Prabowo,2024/10/21,netral
"Belum Penuhi Ketentuan Free Float, Ini Jawaban Bank Maspion (BMAS)",2024/10/22,netral
"IMF ""Pertumbuhan Ekonomi AS Naik 2025"", Wall Street Justru Anjlok",2024/10/22,negatif
"Hyundai Cetak Rekor IPO, Tapi Sahamnya Langsung Ambles",2024/10/22,negatif
"wondr Dongkrak Bisnis BNI, Ini Buktinya",2024/10/22,positif
"Izin Dicabut OJK, Kantor Investree Kosong Tak Bisa Diakses Warga",2024/10/22,negatif
Waskita Teken 5 Akta Restrukturisasi Utang dengan 15 Bank Kreditur,2024/10/22,netral
Menteri Lingkungan Hidup Hanif Faisol Soroti Sepinya Bursa Karbon,2024/10/22,netral
"Resmi Jabat Menteri Kehutanan, Raja Juli Antoni Mundur dari Waka OIKN",2024/10/22,netral
"IHSG Ditutup Balik Arah Menguat, Sudah 8 Hari Beruntun Bergairah",2024/10/22,positif
"Bos Pinjol Bangkrut Kabur ke Luar Negeri, OJK Akan Gaet Interpol",2024/10/22,negatif
CNAF Angkat Noviady Wahyudi Komisaris Jadi Komisaris,2024/10/22,netral
"Jelang Lapkeu, Saham Emiten Ini Diburu Investor Asing!",2024/10/22,positif
Dirut PT PAL Dapat Jabatan Ini di Pemerintahan Prabowo,2024/10/22,netral
"Punya Fondasi Kuat, Bank Raya Siap Jadi Pemain Utama Bank Digital!",2024/10/22,positif
"Yield Treasury AS Naik, Dolar Menguat ke Rp 15.555",2024/10/22,negatif
Transaksi QRIS Ada Biaya? Ini Penjelasannya,2024/10/22,netral
Begini Strategi Raya Jalani Bisnis Bank Digital,2024/10/22,netral
"Mobil Khusus Presiden Prabowo Buatan Asli RI, Ini Profil PT Pindad",2024/10/22,netral
"Breaking! Rupiah Anjlok Pasca Pelantikan, Dolar Sentuh Rp 15.570",2024/10/22,negatif
"Dipimpin Eks Bos OJK Muliaman Hadad, Ini Tugas BP Investasi Danantara",2024/10/22,netral
Saham Prajogo Kompak Melesat Usai Pelantikan Kabinet Prabowo,2024/10/22,positif
IHSG Parkir di Zona Merah Dibebani Kinerja Saham Perbankan,2024/10/22,negatif
Bursa Efek Indonesia Rilis Aturan Efek Beragun Aset,2024/10/22,netral
BI Catat Uang Beredar Rp 9.044 Triliun pada September 2024,2024/10/22,netral
Sukarno Mundur dari Komisaris Saraswanti Anugerah Makmur (SAMF),2024/10/22,netral
"Miliarder Ini Ogah Bayar Pajak, Pilih Beri Uang Langsung ke Warga",2024/10/22,netral
Pedagang Nakal Tolak Uang Tunai & Bebani Biaya QRIS? Awas Kena Denda,2024/10/22,netral
"Profil Adrian Gunadi, Bos Pinjol Bangkrut Diburu OJK ke Luar Negeri",2024/10/22,netral
"Ada Kabar dari China, Harga Minyak Dunia Kembali Melejit",2024/10/22,negatif
Segini Harta Kekayaan Sugiono Menteri Luar Negeri RI Baru,2024/10/22,netral
"IHSG Dibuka Galau, Pesta Pora Pasar Saham Sudah Berakhir?",2024/10/22,negatif
"Rupiah Kembali Tertekan, Dolar AS Naik ke Rp 15.505",2024/10/22,negatif
"Harga Saham Meroket, BEI Gembok Perdagangan SINI dan MTSM",2024/10/22,negatif
"China Pangkas Suku Bunga, Bursa Asia Bergerak Beragam",2024/10/22,netral
"Pasar Nantikan Kinerja Keuangan Korporasi AS, Bitcoin Cs Kompak Turun",2024/10/22,negatif
Meneropong Nasib Rupiah Menanti Kebijakan Pemerintahan Prabowo,2024/10/22,netral
"Bos Pinjol Bangkrut Kabur ke Luar Negeri, Ini Seruan Tegas OJK",2024/10/22,negatif
"IHSG Menguat di Awal Pekan, Asing Borong BMRI, BBNI Hingga GOTO",2024/10/22,positif
"Aturan Terbaru Saldo Minimum Bank Mandiri, BRI, BNI dan BCA",2024/10/22,netral
OJK Resmi Cabut Izin Usaha Pinjol Investree,2024/10/22,negatif
Asing Terciduk Lego Saham BCA Hingga Lippo Kala IHSG Menguat,2024/10/22,negatif
"Harris dan Trump Bersaing Ketat, Wall Street Beri Respon Buruk",2024/10/23,negatif
Bos BCA Bicara Soal Kebijakan dan Kabinet Prabowo,2024/10/23,netral
"Perkuat Kinerja, UNVR Fokus Tingkatkan Operasional",2024/10/23,positif
Ini Jurus Unilever (UNVR) Jaga Kinerja Keuangan,2024/10/23,netral
Ada Usulan Agar China Suntik Rp 4.340 TDemi Stabilkan Pasar Saham,2024/10/23,positif
Emiten Farmasi Darya Varia (DVLA) Mau Tebar Dividen Rp 43 per Saham,2024/10/23,positif
"Cetak Laba Rp 3 T, Unilever (UNVR) Masih Catatkan Profit",2024/10/23,positif
"Sudah Berlaku Bulan Ini, Dana Pensiun Tidak Bisa Cair Sebelum 10 Tahun",2024/10/23,negatif
"BEI Targetkan Transaksi Harian Tembus Rp 13,5 Triliun di 2025",2024/10/23,positif
"Laba Tembus Rp 401 M, Bisnis Ini Jadi Andalan Sucofindo",2024/10/23,positif
"Krisis Properti China Makan Korban Baru, Bank Raksasa Inggris Boncos",2024/10/23,negatif
"BBCA Cetak Laba Rp 41,1 Triliun di Kuartal III-2024, Naik 12,8%",2024/10/23,positif
"Investor Tunggu Kebijakan Ekonomi Prabowo, IHSG Melemah",2024/10/23,negatif
"Bakal Ada Pengumuman Penting Antam (ANTM), RUPSLB dan Ganti Pengurus",2024/10/23,netral
"BEI Belum Capai Target IPO 2024, Tolak 30% Pengajuan Calon Emiten",2024/10/23,negatif
"Rupiah Lanjut Terdepresiasi, Dolar AS Menguat ke Rp 15.615",2024/10/23,negatif
Segini Gaji Raffi Ahmad-Gus Miftah Sebagai Utusan Khusus Presiden,2024/10/23,netral
Cinema XXI (CNMA) Mau Bagi Dividen Interim Rp 416 Miliar,2024/10/23,positif
"WIKA Kantongi Kontrak Baru Rp15,5 T, Ada Proyek Baru di IKN",2024/10/23,positif
"Harga Meroket, Bursa Pantau Ketat Saham INPC dan CARE",2024/10/23,negatif
Direktur Pakuan (UANG) Hum Jiun Tyan Resign,2024/10/23,netral
"Porsi Kredit UMKM BNI (BBNI) Tembus 10%, Ini Penyebabnya",2024/10/23,positif
"Asing Bermanuver Serok Saham GOTO Rp 193,5 M, Ada Apa?",2024/10/23,positif
"Bos Jadi Wamen BUMN, InJourney Tunjuk Maya Watono Sebagai Plt Dirut",2024/10/23,netral
"Mobilnya Dipakai Prabowo, Ini Pemilik Saham Pindad",2024/10/23,netral
"Izin Usaha Dicabut, Begini Nasib Duit Lender Investree",2024/10/23,negatif
Jimmy Halim Tinggalkan Kursi Komisaris Wir Asia (WIRG),2024/10/23,netral
"IHSG Dibuka Galau, Euforia Pemerintahan Baru Sudah Mereda?",2024/10/23,negatif
"Dolar AS Makin Terbang Tinggi, Tembus Rp15.570",2024/10/23,negatif
"Opsi Kontrak BTC & ETH Segera Berakhir, Kripto Melemah",2024/10/23,negatif
"Perang Timur Tengah Makin Berkecamuk, Minyak Melesat 2%",2024/10/23,negatif
"IMF Turunkan Proyeksi Ekonomi China & Jepang, Bursa Asia Gerak Beragam",2024/10/23,netral
"Pinjolnya Bangkrut & Diburu ke Luar Negeri, Adrian Gunadi Buka Suara",2024/10/23,negatif
"Indeks Dolar Terbang Lagi, Rupiah Masih Banyak Tantangan!",2024/10/23,negatif
NETV Jelaskan Alasan Pengurus 87 Anak Usaha Mundur Berjamaah,2024/10/23,netral
"Asing Masih Net Sell, Saham Ini Diam-Diam Malah Dikoleksi",2024/10/23,positif
Kronologi Investree Pailit hingga Eks CEO Diburu ke Luar Negeri,2024/10/23,negatif
"IHSG Reli Panjang, Asing Terciduk ""Jauhi"" Saham Ini",2024/10/23,negatif
"Laba Tesla Melejit 17%, Wall Street Dibuka Sumringah",2024/10/24,positif
OJK Ungkap Potensi Pasar Bank Syariah di Daerah Islam Tertua RI,2024/10/24,netral
Krisis Properti Bikin Warga China Miskin & Tak Bisa Pindahkan Uang,2024/10/24,negatif
"Gibran Tinjau Proyek JSDP, Minta Rampung Tepat Waktu",2024/10/24,netral
"Tangkap Peluang Digitalisasi, BNI Ubah Outlet Jadi Working Space",2024/10/24,positif
"Sempat Naik saat Pelantikan Menteri, Saham Haji Isam (JARR) Anjlok 22%",2024/10/24,negatif
"Garap Proyek Japek II, WSBP Gondol Kontrak Rp 464 M",2024/10/24,positif
Laba Bersih SIDO Naik 33% Jadi Rp 778 M di Kuartal III-2024,2024/10/24,positif
"Gak Kapok Krisis KPR Dahsyat, Wall Street Malah Bikin Produk Ini",2024/10/24,netral
"Prabowo Lantik Utusan Khusus Perbankan, Ini Kata Bos OJK",2024/10/24,netral
"Ada Katalis Positif di Akhir Tahun, Bitcoin Bisa All Time High Lagi?",2024/10/24,positif
"ATM Makin Ditinggalkan, BNI Siapkan Antisipasi Ini",2024/10/24,netral
"Terbebani Sentimen Global, IHSG Merosot Nyaris 1%",2024/10/24,negatif
"Selesai Jadi Wamen, Angela Tanoesoedibjo Kembali Jadi Co-CEO MNC Group",2024/10/24,netral
"Transaksi di ATM Kian Turun, Ternyata Ini Penyebabnya",2024/10/24,negatif
"Rupiah Menguat Usai Tiga Hari Beruntun Tertekan, Dolar ke Rp 15.575",2024/10/24,positif
"Prabowo Panggil Gubernur BI Perry Warjiyo ke Istana, Ada Apa?",2024/10/24,netral
"Sritex Karam Ditelan Utang Rp 23 T, Puluhan Ribu Karyawan Terancam PHK",2024/10/24,negatif
Beli Rumah & Kendaraan DP 0% Berlaku Sampai Desember 2025,2024/10/24,netral
Alasan Mengerikan Harga Emas Terus Cetak Rekor Baru,2024/10/24,netral
Ini Bocoran Mekanisme Asuransi Wajib Buat Mobil & Motor,2024/10/24,netral
"IHSG Masih Loyo, Deretan Saham Ini Jadi Pemberatnya",2024/10/24,negatif
"Danone Angkat Kaki, ALTO Tutup Satu Pabrik Air Minum",2024/10/24,negatif
"Raja Tekstil RI Sritex (SRIL) Dinyatakan Pailit, Ini Pemiliknya",2024/10/24,negatif
"Banyak Warga Terjerat, Ini Sejarah Berdirinya Pinjol dan Masuk ke RI",2024/10/24,netral
"Kini Resmi Bangkrut, Ini Sosok Pendiri Sritex (SRIL)",2024/10/24,netral
BEI Bakal Luncurkan ETF Emas di 2025,2024/10/24,positif
"Kronologi Bangkrutnya Raja Tekstil Sritex, Tumbang Ditelan Utang",2024/10/24,negatif
"Besar di Tempat Kumuh, Pria Ini Jadi Pengusaha Berharta Rp 840 M",2024/10/24,netral
Saham Favorit Warren Buffett yang Bisa Dipegang Selamanya,2024/10/24,netral
"Sejarah Panjang Sritex, Raksasa Tekstil RI yang Akhirnya Pailit",2024/10/24,netral
Cerita Lo Kheng Hong Setop Kerja di Usia 37 Tahun,2024/10/24,netral
Dolar AS Lanjut Melonjak Sentuh Rp15.635,2024/10/24,negatif
"IHSG Dibuka Galau Lagi, Pasar Tunggu Kebijakan Prabowo",2024/10/24,negatif
"Persediaan Minyak AS Melimpah, Harga Minyak Kembali Merana",2024/10/24,negatif
BEI Gembok Saham Pengembang Grand House Mulia (HOMI),2024/10/24,negatif
"Pemilu AS Bikin Was-Was, Bursa Asia Bergejolak",2024/10/24,negatif
"Investree -Tanifund Ditutup OJK, Ini Daftar Terbaru 97 Pinjol Resmi",2024/10/24,netral
"Menanti Data Tenaga Kerja AS, Tantangan Rupiah Masih Berlanjut!",2024/10/24,negatif
Tok! Sritex (SRIL) dan 3 Anak Usaha Dinyatakan Pailit,2024/10/24,negatif
"IHSG Turun Tipis, Asing Borong Saham BBNI hingga GOTO",2024/10/24,positif
Ini Penjelasan OJK Soal Dana Pensiun Tak Bisa Cair Sekaligus,2024/10/24,netral
"IHSG Turun Tipis, Asing Kompak Jual Deretan Saham Ini",2024/10/24,negatif
"Bank Raya (AGRO) Cetak Laba Rp33,9 M di Q3, Tumbuh 130,9%",2024/10/24,positif
"Bursa Saham AS Anjlok, Bitcoin Cs Kompak Turun",2024/10/24,negatif
"BNI (BBNI) Geber Pembiayaan Hijau, Ini Buktinya!",2024/10/25,positif
"Pemilu AS Tinggal Menghitung Hari, Wall Street Mulai Berpesta",2024/10/25,positif
OJK Bakal Bahas Hapus Utang Petani & Nelayan dengan Pemerintah,2024/10/25,netral
BNI (BBNI) Bidik Pertumbuhan Kredit 10-12% Pada 2024,2024/10/25,positif
Umur Sritex (SRIL) di Bursa Efek Indonesia di Ujung Tanduk,2024/10/25,negatif
"Sritex Pailit dan Punya Utang di 28 Bank, Paling Banyak di BCA (BBCA)",2024/10/25,negatif
"Bikin Rugi Rp 7,8 Triliun, Maskapai Ini Gugat CrowdStrike",2024/10/26,negatif
"Sukses Bobol Emas 960 Kg, Malah Terungkap Akibat Ulah Istri",2024/10/26,negatif
"Akui Berdampak Buruk, 3 Raksasa Rokok Mau Bayar Ganti Rugi Rp 365 T",2024/10/26,netral
"BPK Ungkap Masalah Keuangan PT Pindad, Ini Temuannya",2024/10/26,negatif
"Dituduh Lakukan Monopoli, Alibaba Setuju Bayar Rp 6,72 Triliun",2024/10/26,negatif
"Duit di Rekening Terkuras Habis, Awas Modus Baru Maling M-Banking",2024/10/26,netral
Misteri Emas 57 Ton Milik Soekarno Akhirnya Terungkap,2024/10/26,netral
Prabowo Perintahkan 4 Menteri Selamatkan Sritex,2024/10/26,netral
"Bos Pinjol Bangkrut Kabur ke Luar Negeri, OJK Siap Gaet Interpol",2024/10/26,negatif
"Nasihat Warren Buffet, 7 Kebiasaan Ini Bikin Awet Miskin",2024/10/27,netral
Robert Kiyosaki Bilang 3 Aset Ini Wajib Ditimbun Saat Perang Dunia,2024/10/27,netral
"Dorong Sektor Properti, BRI Gelar Acara Ini",2024/10/27,positif
Selebgram Palembang Buron Kasus Investasi Bodong Berhasil Ditangkap,2024/10/27,negatif
Bursa Efek New York Siap Buka 22 Jam Sehari,2024/10/27,netral
"Starbucks, Nike & Boeing Tak Menarik Lagi di Mata Investor, Ada Apa?",2024/10/27,negatif
Media Besar AS Laporkan Elon Musk Pernah Kerja Ilegal Tahun 90-an,2024/10/27,negatif
Hati-Hati! Begini Modus Baru Maling M-Banking,2024/10/27,netral
"Pantas Sritex Megap-Megap, Total Utangnya Rp 25 Triliun!",2024/10/27,negatif
"IMF Ramal Ekonomi RI di Era Prabowo Sulit Tumbuh 8%, Mandek di 5,1%",2024/10/27,netral
Alasan Prabowo Perintahkan 4 Menteri Selamatkan Sritex,2024/10/27,netral
"BPJS Ketenagakerjaan Incar 61 Juta Peserta, Ojol Jadi Tantangan",2024/10/28,netral
DPR Tanya ke BPJS TK: Siap Hadapi PHK Massal Sritex?,2024/10/28,netral
"Ada US$4,51 Juta Nyangkut di Sritex, Bank Danamon (BDMN) Lakukan Ini",2024/10/28,negatif
"Bidik Rp107,8 T, BUMA Perpanjang Kontrak dengan Grup Bayan",2024/10/28,positif
"IHSG Berhasil Pangkas Koreksi, Tapi Gagal Balik ke Level 7.700",2024/10/28,positif
"Naik 57%, Laba TUGU Tembus Rp 783 M di Kuartal III-2024",2024/10/28,positif
"Toyota Alphard Menteri Mau Diganti Maung, Ini Kata Pindad",2024/10/28,netral
"Kongkalikong Budi Said Terungkap, MA Bisa Batalkan Putusan Perdata",2024/10/28,negatif
"Rupiah Terpukul Tensi Israel-Iran, Dolar AS Menguat Jadi Rp15.720",2024/10/28,negatif
"Erick Thohir Sambangi Menhub, Bahas Soal Ini",2024/10/29,netral
Modus Budi Said Catut Nama Guru Ngaji Untuk Beli Emas Rp48 M Terungkap,2024/10/29,negatif
"Sukses Efisiensi, Laba BLES Tumbuh Double Digit di Kuartal III-2024",2024/10/29,positif
"Sritex (SRIL) Punya Utang di Bank Rp12,66 T, BCA-Danamon Buka Suara",2024/10/29,netral
"3 Bulan Diluncurkan, Begini Perkembangan wondr by BNI",2024/10/29,netral
"Emiten Kapal WINS Cetak Laba US$19,7 Juta, Terbang 603%",2024/10/29,positif
BSI (BRIS) Beberkan Proyeksi Pertumbuhan Pembiayaan 2024,2024/10/29,positif
"Sidang Korupsi Emas Budi Said Berlanjut, Jaksa Hadirkan 4 Saksi Kunci",2024/10/29,negatif
"Tabungan BSI Tumbuh di Atas Rata-Rata Industri, Ini Penopangnya",2024/10/29,positif
BSI (BRIS) Punya Produk Pembiayaan yang Tumbuh 143% & Bebas NPF,2024/10/29,positif
"Dolar AS Tembus Rp15.755, BI Ungkap Biang Kerok Rupiah Anjlok!",2024/10/29,negatif
"Pemilu AS Tinggal Menghitung Hari, IHSG Kembali Ditutup Koreksi!",2024/10/29,negatif
Ini Kata Airlangga Soal Nasib Sritex,2024/10/29,netral
"Harga Emas Meroket, Ini Dampaknya ke Kinerja BSI",2024/10/29,positif
Keputusan Prabowo: Sritex Harus Tetap Berjalan!,2024/10/29,netral
"Perbankan Syariah Tumbuh Pesat, Bank Konvensional Lewat",2024/10/29,positif
"Rupiah Ditutup Melemah 0,22%, Dolar Jadi Rp15.755",2024/10/29,negatif
Raja Rokok RI Rela Ganti Nama Perusahaan Gara-gara Mimpi,2024/10/29,netral
Asuransi Great Eastern Blak-Blakan Cara Bikin Ekuitas Jadi Rp1 Triliun,2024/10/29,netral
Ada Kabar Baik Buat Pasar Reksa Dana di RI,2024/10/30,netral
"The Fed Bakal Pangkas Suku Bunga 25 Bps, Intip Cuan di Sektor Ini",2024/10/30,netral
"Cetak Laba Rp 45,36 T, Bos BRI Ungkap Potensi Kinerja di Akhir Tahun!",2024/10/30,positif
"Kredit Tumbuh 20%, NPL Bank Mandiri Terendah dalam Sejarah",2024/10/30,positif
"Beban Turun, Rugi Bersih GOTO Q3-2024 Berhasil Dipangkas 53%",2024/10/30,positif
"Lagi Banyak Saham Diskon, Intip Prospek Pasar Tahun Depan",2024/10/30,netral
Amar Bank Bidik Enam Juta Nasabah di Era Suku Bunga Rendah,2024/10/30,positif
"Pemain U20, Ji Da Bin Resmi Jadi Brand Ambassador KBstar",2024/10/30,netral
"Rugi GOTO Kuartal III 2024 Rp4,31 Triliun, Susut 55%",2024/10/30,negatif
Lapor Bu Sri Mulyani! Minat Asing di Lelang SUN Makin Lesu,2024/10/31,negatif
"EBITDA Disesuaikan GOTO Positif, Ini Pemicunya",2024/10/31,netral
"Siap-Siap, Ada Tiga IPO Jumbo Akhir Tahun Ini",2024/10/31,positif
"Indofarma (INAF) Rugi Rp166,48 Miliar per September 2024",2024/10/31,negatif
Pendapatan Garuda hingga Kuartal III-2024 Naik 15%,2024/10/31,positif
"Agung Podomoro (APLN) Balik Arah, dari Laba Rp1 T Jadi Rugi Rp41 M",2024/10/31,negatif
"Bisnis Data dan IT Tumbuh Pesat, Telkom Cetak Laba Rp 17,67 Triliun",2024/10/31,positif
"IHSG Ditutup Naik Tipis, tapi Gagal Balik Ke 7.600-an",2024/10/31,positif
Emiten FILM Manoj Punjabi Bukukan Laba Rp 103 Miliar di Q3/2024,2024/10/31,positif
"OJK: Kredit Bank Tumbuh 9%-11% di Akhir Tahun, tapi Laba Seret",2024/11/01,negatif
"Laba Indofood (INDF) Melonjak 24% Jadi Rp 8,76 T di Q3/2024",2024/11/01,positif
WIKA Tingkatkan Kolektibilitas Piutang & Pengelolaan Utang,2024/11/01,positif
BNI Salurkan Pembiayaan Supply Chain ke Mitra Bumi Serpong Damai,2024/11/01,positif
OJK Tutup 1.000 Nomor WA Tawarkan Investasi Ilegal,2024/11/01,netral
"OJK Terima 26.881 Pengaduan, Paling Banyak di Fintech",2024/11/01,negatif
"OJK: Sektor Jasa Keuangan Syariah Catat Kinerja Positif, Ini Datanya",2024/11/01,positif
"Timah (TINS) Cetak Laba Rp908,78 M per September 2024",2024/11/01,positif
OJK Tegaskan Hapus Tagih Kredit di Bank BUMN Hanya untuk UMKM,2024/11/01,netral
"6 Multifinance di Ujung Tanduk, Modal Masih Kurang dari Rp100 M",2024/11/01,negatif
BNI dan UI Kolaborasi Ekosistem Keuangan Digital Pendidikan,2024/11/01,positif
"IHSG Gagal Happy Weekend Lagi, Nyaris Turun 1%",2024/11/01,negatif
"Warga RI Rajin Makan Indomie, Laba ICBP Melesat 15% Jadi Rp 8,15 T",2024/11/01,positif
"Perbanyak Outlet, Laba Emiten Ini Tumbuh Hingga 35,93%",2024/11/01,positif
"Utang Sritex (SRIL) Nyaris Rp 15 T, OJK Buka Suara Soal Dampak ke Bank",2024/11/01,negatif
"Bareskrim Polri Usut Suap IPO, Ini Kata OJK",2024/11/01,negatif
"Rupiah Keok, Dolar Naik Jadi Rp15.715",2024/11/01,negatif
Ini Upaya OJK Cegah Risiko Fraud,2024/11/01,netral
"Investor Kripto RI Capai 21,27 Juta & Transaksi Rp 426 T Naik 301%",2024/11/01,positif
"Aset Industri Asuransi Komersial RI Tumbuh 3,81% per September 2024",2024/11/01,positif
OJK Blokir 8.000 Rekening Bank Dipakai Judol per Oktober 2024,2024/11/01,negatif
"Utang Pinjol RI Tembus Rp 74,48 T per September 2024",2024/11/01,negatif
"Pangkas Beban Penjualan, Laba Emiten Sawit Ini Tumbuh 18,72%",2024/11/01,positif
"Transformasi Bisnis, AIMS Bidik Cuan Bidang Entertainment & Lifestyle",2024/11/01,positif
"Asing Kompak Tanam Dana di RI, Puluhan Triliun Masuk Pasar Saham & SBN",2024/11/01,positif
Daftar Lengkap 15 Bank Bangkrut Sepanjang Tahun Ini,2024/11/01,netral
"Pertumbuhan Kredit Industri Bank Melambat, NPL Membaik",2024/11/01,netral
OJK Ungkap Ancaman Lemahnya Aktivitas Perekonomian Global,2024/11/01,negatif
"Harga Emas Naik Terus, Simak Penjelasan OJK",2024/11/01,netral
"Dulu Raja di Asean, Emiten Aluminium Grup Maspion (ALMI) Stop Operasi",2024/11/01,negatif
"Rugi Kimia Farma di Kuartal III-2024 Bengkak 137,9%",2024/11/01,negatif
"Biaya, Syarat, Cara Daftar & Lama Balik Modal Buka Alfamart",2024/11/01,netral
"Erick Thohir Mau Panggil Bos-Bos BUMN, Ini Bocorannya",2024/11/01,netral
"Biofarma Raih Kontrak Ekspor Vaksin Rp1,4 T Untuk Tahun 2025",2024/11/01,positif
Apa Perbedaan Pinjol dan P2P Lending? Ini Kata Asosiasi Fintech,2024/11/01,netral
"Asia Pacific Fibers (POLY) Tutup Pabrik, Intip Kondisi Keuangannya",2024/11/01,negatif
Erick Thohir Buka-Bukaan Soal Penyehatan Indofarma (INAF),2024/11/01,netral
"Laba Bersih TUGU Naik 115%, Ternyata Ini Pemicunya",2024/11/01,positif
"Keuangan Derivatif Bakal Diawasi OJK, Ini Update Terbarunya",2024/11/01,netral
"Perhatian Investor, BEI Akan Luncurkan Single Stock Futures",2024/11/01,positif
"Rugi Emiten Sepatu BATA Bengkak 55,9% Jadi Rp 129,49 M",2024/11/01,negatif
Bitcoin Cs Kompak Anjlok Jelang Pemilihan Presiden AS,2024/11/01,negatif
IHSG Dibuka Loyo Lagi Usai BPS Umumkan Data Inflasi,2024/11/01,negatif
"Tren Deflasi RI Berakhir, Dolar Turun ke Rp15.685",2024/11/01,positif
BEI Pantau Ketat Perdagangan Saham JIHD dan GPSO,2024/11/01,negatif
Nikkei Dibuka Ambles 2% Mengekor Kinerja Buruk Wall Street,2024/11/01,negatif
BSI & Askrindo Syariah Sepakati Kerja Sama Kontra Bank Garansi Rp1 T,2024/11/01,positif
Kronologi Lengkap Bukalapak (BUKA) Harus Bayar Ganti Rugi Rp 107 M,2024/11/01,negatif
"Menanti Nasib Rupiah di Akhir Pekan, Bakal Happy?",2024/11/01,netral
Investor Asing Kembali Lego Saham-Saham Blue Chip,2024/11/01,negatif
"IHSG Tumbang, Bos BEI Singgung Rencana Prabowo Hapus Utang Petani",2024/11/01,negatif
"Aturan Terbaru Biaya Admin Bulanan Rekening BRI, BNI, BCA & Mandiri",2024/11/01,netral
Asing Kompak Borong 10 Saham Ini Kala IHSG Mulai Bangkit,2024/11/01,positif
Kenapa Tuyul & Babi Ngepet Tak Curi Uang di Bank? Ini Jawabannya,2024/11/02,netral
"Dorong Keuangan Syariah, BI Perkuat Sinergi Global Zakat & Wakaf",2024/11/02,positif
Orang Terkaya Dunia Ungkap Usaha Sampingan yang Cuan Besar,2024/11/02,netral
"Siapa Sangka, Mesin Uang Orang Terkaya Israel Ternyata Populer di RI",2024/11/02,netral
"Petani Jawa Gali Sawah, Malah Dapat Harta Karun Emas 16 Kg",2024/11/02,netral
"Warga RI Ramai-Ramai Pindah Ke Rokok Murah, Ini Respons Bea Cukai",2024/11/02,netral
